session id,title,views,total favs,fav count,unfav count,session notes,space,pathway,language,etherpad,,Notes
810,Beautiful Rising - A Campaign Strategy Card Game,29,33,33,0,4,Fuel the movement,Advocacy & Web Literacy,,https://public.etherpad-mozilla.org/p/mozfest-2016-beautiful-rising---a-campaign-strateg,,
385,Unleash the Creator in You!,29,31,31,0,4,Digital arts and culture,,,https://public.etherpad-mozilla.org/p/mozfest-2016-unleash-the-creator-in-you,,
489,Web docs and longforms - Al Jazeera's approach,28,45,51,6,6,Journalism,Multi-lingual MozFest,"Arabic, English",https://public.etherpad-mozilla.org/p/mozfest-2016-web-docs-and-longforms---al-jazeera-s,,
179,Welcome to the Open IoT Studio!,27,52,57,5,15,Dilemmas in connected spaces,,,https://public.etherpad-mozilla.org/p/mozfest-2016-welcome-to-the-open-iot-studio,,
743,Searchable Broadcasts (TV for Robotic Overlords),27,22,27,5,15,Journalism,,,https://public.etherpad-mozilla.org/p/mozfest-2016-searchable-broadcasts--tv-for-robotic,,
544,Hacking User Centred Design for Social Change,27,51,56,5,8,Fuel the movement,Advocacy & Web Literacy,,https://public.etherpad-mozilla.org/p/mozfest-2016-hacking-user-centred-design-for-socia,,
913,"Dialogues & Debates: Zeynep Tufekci, Brian Behlendorf & Maggie Vail",27,53,53,0,7,Dialogues and Debates Speakers Series,,,https://public.etherpad-mozilla.org/p/mozfest-2016-dialogues---debates--zeynep-tufekci,,
740,"Getting Medieval, Getting Manuscripts",27,31,34,3,6,Digital arts and culture,,,https://public.etherpad-mozilla.org/p/mozfest-2016-getting-medieval--getting-manuscripts,,
340,IoT: Usable privacy in the connected home,27,46,46,0,4,Dilemmas in Connected Spaces,,,https://public.etherpad-mozilla.org/p/mozfest-2016-iot--usable-privacy-in-the-connected,,
461,Having fun sketching notes,26,32,38,6,11,Digital arts and culture,,,https://public.etherpad-mozilla.org/p/mozfest-2016-having-fun-sketching-notes,,
916,Dialogues & Debates: Volker Birk & Katharina Borchert,26,46,49,3,5,Dialogues and Debates Speakers Series,,,https://public.etherpad-mozilla.org/p/mozfest-2016-dialogues---debates--volker-birk---ka,,
370,Off the Record: Introduction to Encrypted Communications for Journalists,26,39,42,3,5,Journalism,,,https://public.etherpad-mozilla.org/p/mozfest-2016-off-the-record--introduction-to-encry,,
536,Everything in Life is about the TL;DR,26,30,35,5,3,Fuel the movement,,,https://public.etherpad-mozilla.org/p/mozfest-2016-everything-in-life-is-about-the-tl-dr,,
495,<Open Hearts> <Open Hands> <Open Web>,26,38,38,0,3,Demystify the web,Digital Inclusion,,https://public.etherpad-mozilla.org/p/mozfest-2016--open-hearts---open-hands---open-web,,
906,Closing drinks & exhibition,26,51,56,5,0,Dilemmas in Connected Spaces,,,https://public.etherpad-mozilla.org/p/mozfest-2016-closing-drinks---exhibition,,
409,Hack and Remix the Web with Web Extensions,26,26,26,0,0,Fuel the movement,Multi-lingual MozFest,"Italian, English",https://public.etherpad-mozilla.org/p/mozfest-2016-hack-and-remix-the-web-with-web-exten,,
190,Vanity Trumps Privacy Trumps Vanity,25,26,31,5,13,Demystify the web,The Future of the Web,,https://public.etherpad-mozilla.org/p/mozfest-2016-vanity-trumps-privacy-trumps-vanity,,
66,Fight for the Open Web! Using Minecraft for Internet Activism,25,23,31,8,9,Demystify the web,Storytelling,,https://public.etherpad-mozilla.org/p/mozfest-2016-fight-for-the-open-web--using-minecra,,
245,"Nature, in Code - learning JavaScript to reason about our world in code",25,55,59,4,9,Demystify the web,,,https://public.etherpad-mozilla.org/p/mozfest-2016-nature--in-code---learning-javascript,,
2468,Painting with Virtual Reality and A-Painter,25,32,36,4,5,Dilemmas in Connected Spaces,,,https://public.etherpad-mozilla.org/p/mozfest-2016-painting-with-virtual-reality-and-a-p,,
914,Dialogues & Debates: Mark Surman & Sahar Aziz,25,52,55,3,5,Dialogues and Debates Speakers Series,,,https://public.etherpad-mozilla.org/p/mozfest-2016-dialogues---debates--mark-surman---sa,,
672,Let's create a board game for empathy,25,40,40,0,5,Demystify the web,,,https://public.etherpad-mozilla.org/p/mozfest-2016-let-s-create-a-board-game-for-empathy,,
568,WebVR for the rest of us,25,43,50,7,4,Journalism,,,https://public.etherpad-mozilla.org/p/mozfest-2016-webvr-for-the-rest-of-us,,
714,Why choose open when you can choose free?: A discussion of some of the issues surrounding free content on the Web,25,65,69,4,3,Demystify the web,,,https://public.etherpad-mozilla.org/p/mozfest-2016-why-choose-open-when-you-can-choose-f,,
831,Come write your first FOIA request!,25,28,28,0,3,Journalism,,,https://public.etherpad-mozilla.org/p/mozfest-2016-come-write-your-first-foia-request,,
645,"Data: from ""What, Why, and How"" to ""You, Here, and Now""",25,49,52,3,0,Open science,The Future of the Web,,,,
376,Multiplayer Web Games: Build your own!,24,48,51,3,23,Demystify the web,,,https://public.etherpad-mozilla.org/p/mozfest-2016-multiplayer-web-games--build-your-own,,
924,Closing Demo Party,24,54,54,0,10,Programmatic Pieces,,,https://public.etherpad-mozilla.org/p/mozfest-2016-closing-demo-party,,
107,Orleans House Gallery Gaming Hub: GAME ON!,24,15,17,2,7,Digital arts and culture,,,https://public.etherpad-mozilla.org/p/mozfest-2016-orleans-house-gallery-gaming-hub--gam,,
756,What Good Can Gigabit Networks Do? Curriculum Hack,24,19,19,0,7,Demystify the web,,,https://public.etherpad-mozilla.org/p/mozfest-2016-what-good-can-gigabit-networks-do--cu,,
751,GOSH! A roadmap for open science hardware,24,20,20,0,6,Open science,,,https://public.etherpad-mozilla.org/p/mozfest-2016-gosh--a-roadmap-for-open-science-hard,,
711,Crawling the web for genomic data with Node.js Streams and Bionode.io,24,21,21,0,5,Open science,,,https://public.etherpad-mozilla.org/p/mozfest-2016-crawling-the-web-for-genomic-data-wit,,
78,"The Art of Vlogging and 1,2,3 Vlog Edit Upload",24,31,31,0,4,Digital arts and culture,Storytelling,,https://www.agik.co.uk,,
654,Poetry for programmers: How arts and culture will save your life and improve your code,24,52,58,6,0,Journalism,,,https://public.etherpad-mozilla.org/p/mozfest-2016-poetry-for-programmers--how-arts-and,,
910,Data Brick,24,15,18,3,0,Dilemmas in Connected Spaces,,,https://public.etherpad-mozilla.org/p/mozfest-2016-data-brick,,
152,Build an open source ethical CS program,23,40,44,4,10,Demystify the web,The Future of the Web,,https://public.etherpad-mozilla.org/p/mozfest-2016--build-an-open-source-ethical-cs-prog,,
341,Computer science meets the classroom,23,20,26,6,7,Demystify the web,,,https://public.etherpad-mozilla.org/p/mozfest-2016-computer-science-meets-the-classroom,,
256,Displaying interactive networks on the web,23,31,36,5,6,Open science,,,https://public.etherpad-mozilla.org/p/mozfest-2016-displaying-interactive-networks-on-th,,
800,5 big topics for Hacks (journalists) and Hackers (technologists) in 2016,23,43,47,4,5,Journalism,,,https://public.etherpad-mozilla.org/p/mozfest-2016---big-topics-for-hacks--journalists,,
123,Got Data? Now let's activate it!,23,26,29,3,4,Fuel the movement,Advocacy & Web Literacy,,https://public.etherpad-mozilla.org/p/mozfest-2016-got-data--now-let-s-activate-it,,
741,"Gigabits, the Higgs boson, and citizen science",23,19,22,3,3,Open science,,,https://public.etherpad-mozilla.org/p/mozfest-2016-gigabits--the-higgs-boson--and-citize,,
172,Databox: Hack an App,23,32,35,3,2,Dilemmas in connected spaces,,,https://public.etherpad-mozilla.org/p/mozfest-2016-databox--hack-an-app,,
485,LASERS - and how you can use them to make geeky jewellery / keyrings,23,29,38,9,0,Youth zone,,,https://public.etherpad-mozilla.org/p/mozfest-2016-lasers---and-how-you-can-use-them-to,,
363,How to Engage Activists in 2017,23,45,48,3,0,Fuel the movement,,,https://public.etherpad-mozilla.org/p/mozfest-2016-how-to-engage-activists-in,,
361,Research-Based Digital Security Advice for Everyday Internet Users,23,22,22,0,0,Fuel the movement,,,https://public.etherpad-mozilla.org/p/mozfest-2016-research-based-digital-security-advic,,
505,Telegram bot meets Arduino,22,42,47,5,15,Dilemmas in connected spaces,,,https://public.etherpad-mozilla.org/p/mozfest-2016-telegram-bot-meets-arduino,,
575,The challenges of building the web for non digital natives,22,37,43,6,6,Demystify the web,,,https://public.etherpad-mozilla.org/p/mozfest-2016-the-challenges-of-building-the-web-fo,,
616,Measuring privacy risk and implied consent in app permissions,22,28,33,5,6,Journalism,,,https://public.etherpad-mozilla.org/p/mozfest-2016-measuring-privacy-risk-and-implied-co,,
641,How young Africans are embracing technology to enhance their lives,22,48,48,0,6,Localisation,,,https://public.etherpad-mozilla.org/p/mozfest-2016-how-young-africans-are-embracing-tech,,
901,Living in the UK post Brexit,22,41,48,7,4,Dilemmas in Connected Spaces,,,https://public.etherpad-mozilla.org/p/mozfest-2016-living-in-the-uk-post-brexit,,
614,"Creating Data Literacy: connecting the dots between Journalism, Government, Civil Society and Academia",22,31,31,0,4,Journalism,,,https://public.etherpad-mozilla.org/p/mozfest-2016-creating-data-literacy--connecting-th,,
67,Offline Games for the Open Web,22,32,41,9,0,Demystify the web,Advocacy & Web Literacy,,https://public.etherpad-mozilla.org/p/mozfest-2016-offline-games-for-the-open-web,,
675,Crowdsourcing the Next Gigabit Cities: An Engagement Platform for Municipal Broadband,22,37,37,0,0,Demystify the web,The Future of the Web,,https://public.etherpad-mozilla.org/p/mozfest-2016-crowdsourcing-the-next-gigabit-cities,,
537,All Eyes on Surveillance,21,18,23,5,6,Fuel The Movement,,,https://public.etherpad-mozilla.org/p/mozfest-2016-all-eyes-on-surveillance,,
911,Teleport Machine (Privacy Machines Part III),21,19,19,0,6,Dilemmas in Connected Spaces,,,https://public.etherpad-mozilla.org/p/mozfest-2016-teleport-machine--privacy-machines-pa,,
76,Building the Open Internet Movement -- Stages + Strategies,21,25,25,0,4,Fuel the movement,,,https://public.etherpad-mozilla.org/p/mozfest-2016-building-the-open-internet-movement,,
818,"How hard could it be? — Building the Research &
Education Space

",21,25,25,0,3,Digital arts and culture,,,https://public.etherpad-mozilla.org/p/mozfest-2016-how-hard-could-it-be----building-the,,
464,Are you well? When connected devices know more about you,21,37,40,3,0,Dilemmas in connected spaces,"AR, VR & Machine Learning",,https://public.etherpad-mozilla.org/p/mozfest-2016-are-you-well--when-connected-devices,,
389,"Learning in a connected world: Why web literacy, why now?",21,47,47,0,0,Demystify the web,Advocacy & Web Literacy,,https://public.etherpad-mozilla.org/p/mozfest-2016-learning-in-a-connected-world--why-we,,
539,All Eyes on Surveillance,20,18,18,0,3,Fuel The Movement,,,https://public.etherpad-mozilla.org/p/mozfest-2016-all-eyes-on-surveillance,,
173,Critical Challenges and Interfaces to Autonomous Systems,20,21,21,0,0,Dilemmas in connected spaces,,,https://public.etherpad-mozilla.org/p/mozfest-2016-critical-challenges-and-interfaces-to,,
16,GitHub's Patchwork,19,25,31,6,4,Youth zone,,,https://public.etherpad-mozilla.org/p/mozfest-2016-github-s-patchwork,,
382,Let's ask all our embarrassing data questions,19,46,50,4,4,Journalism,,,https://public.etherpad-mozilla.org/p/mozfest-2016-let-s-ask-all-our-embarrassing-data-q,,
813,Getting it right: Automating Fact Checking and Data Searches in South America and Africa,19,28,32,4,4,Journalism,Multi-lingual MozFest,"Spanish, English",https://public.etherpad-mozilla.org/p/mozfest-2016-getting-it-right--automating-fact-che,,
476,"Ro-Botticelli, Creating Art with Robots",19,34,37,3,0,Digital arts and culture,,,https://public.etherpad-mozilla.org/p/mozfest-2016-ro-botticelli--creating-art-with-robo,,
41,Open Badge Academy - Learning Happens Everywhere,18,31,36,5,19,Open badges,Advocacy & Web Literacy,,https://public.etherpad-mozilla.org/p/mozfest-2016-open-badge-academy---learning-happens,,
473,iPad Orchestra,18,30,36,6,5,Digital arts and culture,,,https://public.etherpad-mozilla.org/p/mozfest-2016-ipad-orchestra,,
540,Reverse-engineering newsroom workflow,18,27,27,0,5,Journalism,,,https://public.etherpad-mozilla.org/p/mozfest-2016-reverse-engineering-newsroom-workflow,,
803,Breaking the chains: Reconfiguring the cycle of online violence against female journalists,18,26,31,5,4,Journalism,,,https://public.etherpad-mozilla.org/p/mozfest-2016-breaking-the-chains--reconfiguring-th,,
570,Infect the smart city with not so dumb bikes,18,32,35,3,4,Dilemmas in connected spaces,"AR, VR & Machine Learning, ""Multi-lingual MozFest""",,https://public.etherpad-mozilla.org/p/mozfest-2016-infect-the-smart-city-with-not-so-dum,,
125,hACkT: Drama and Technology for Creative Learning,18,28,31,3,4,Digital arts and culture,,,https://public.etherpad-mozilla.org/p/mozfest-2016-hackt--drama-and-technology-for-creat,,
814,The Grand Tour - experience our solar system in VR,18,16,23,7,3,Youth zone,"AR, VR & Machine Learning, ""Multi-lingual MozFest""",,https://public.etherpad-mozilla.org/p/mozfest-2016-the-grand-tour---experience-our-solar,,
189,"Teach The Web, without the Web",18,35,39,4,3,Demystify the web,,,https://public.etherpad-mozilla.org/p/mozfest-2016-teach-the-web--without-the-web,,
413,Flags: When is code at its most creative?,18,17,21,4,3,Digital Arts and Culture,,,https://www.entertheswarm.com,,
709,The Web Garden: Planting the Seeds of Knowledge About the Web,18,14,18,4,0,Demystify the web,,,https://public.etherpad-mozilla.org/p/mozfest-2016-the-web-garden--planting-the-seeds-of,,
538,Future Present,18,18,18,0,0,Dilemmas in connected spaces,,,https://public.etherpad-mozilla.org/p/mozfest-2016-future-present,,
814001,The Grand Tour - experience our solar system in VR,17,49,77,28,12,Youth zone,"AR, VR & Machine Learning, ""Multi-lingual MozFest""",,https://public.etherpad-mozilla.org/p/mozfest-2016-the-grand-tour---experience-our-solar-system-in-vr,,Merged with stats of ID = 81400. Seemed like an error in entry.
733,User experience inside and out of the newsroom,17,42,46,4,10,Journalism,,,https://public.etherpad-mozilla.org/p/mozfest-2016-user-experience-inside-and-out-of-the,,
520,#a11yhacks -  Accessibilty Dojo's,17,18,22,4,7,Demystify the web,Digital Inclusion,,https://public.etherpad-mozilla.org/p/mozfest-2016--a--yhacks----accessibilty-dojo-s,,
502,Music From Things,17,16,21,5,4,Digital arts and culture,,,https://public.etherpad-mozilla.org/p/mozfest-2016-music-from-things,,
727,Get on board: Story- and mood boarding your stories,17,38,42,4,4,Journalism,Storytelling,,https://public.etherpad-mozilla.org/p/mozfest-2016-get-on-board--story--and-mood-boardin,,
394,Connecting remotely to global communities,17,16,20,4,3,Localisation,Multi-lingual MozFest,"Japanese, English","http://ja.mozillafactory.org/post/151421168498/mozilla-festival
",,
349,Digital Champions: scaffolding adult digital and web literacies with badges,17,21,21,0,0,Open badges,Advocacy & Web Literacy,,https://public.etherpad-mozilla.org/p/mozfest-2016-digital-champions--scaffolding-adult,,
1995,"Storytelling on the web with Snowball, a WordPress plugin for building immersive feature articles",16,21,26,5,11,Journalism,,,https://public.etherpad-mozilla.org/p/mozfest-2016-storytelling-on-the-web-with-snowball,,
88,A Handmade Web,16,25,29,4,6,Dilemmas in connected spaces,,,https://public.etherpad-mozilla.org/p/mozfest-2016-a-handmade-web,,
467,Future toys,16,38,43,5,5,Dilemmas in connected spaces,,,https://public.etherpad-mozilla.org/p/mozfest-2016-future-toys,,
501,Chatting with the smart home,16,24,27,3,5,Dilemmas in connected spaces,,,https://public.etherpad-mozilla.org/p/mozfest-2016-chatting-with-the-smart-home,,
836,Raspberry Pirate Radio!,16,20,20,0,5,Youth zone,,,https://public.etherpad-mozilla.org/p/mozfest-2016-raspberry-pirate-radio,,
140,Thinking Spatially: How location intelligence can enhance your data and let you uncover new insights.,16,33,35,2,3,Open science,,,https://public.etherpad-mozilla.org/p/mozfest-2016-thinking-spatially--how-location-inte,,
219,Hacking games to teach Web Literacy,16,28,28,0,3,Demystify the web,Advocacy & Web Literacy,,https://public.etherpad-mozilla.org/p/mozfest-2016-hacking-games-to-teach-web-literacy,,
832,Automatic Twitter photo booth with the Raspberry Pi,16,17,46,29,0,Youth zone,,,https://public.etherpad-mozilla.org/p/mozfest-2016-automatic-twitter-photo-booth-with-th,,"Lots of unfavs. Great title, broken photo in description. "
368,I didn’t know I could know so much! The open science way to do literature research,16,32,39,7,0,Open science,,,,,
904,Framing migration,16,19,25,6,0,Dilemmas in Connected Spaces,Digital Inclusion,,https://public.etherpad-mozilla.org/p/mozfest-2016-framing-migration,,
752,Programmable Posters with Paper Circuitry,16,17,21,4,0,Youth zone,,,https://public.etherpad-mozilla.org/p/mozfest-2016-programmable-posters-with-paper-circu,,
621,Building a Shared Platform for Digital Rights Campaigners,16,17,20,3,0,Fuel the movement,,,https://public.etherpad-mozilla.org/p/mozfest-2016-building-a-shared-platform-for-digita,,
403,Reponsible Use of Internet and Ethics,16,25,25,0,0,Demystify the web,,,https://public.etherpad-mozilla.org/p/mozfest-2016-reponsible-use-of-internet-and-ethics,,
549,This house believes that everyone will use English by 2030. Will it happen? Does it matter?,16,25,25,0,0,Localisation,,,https://public.etherpad-mozilla.org/p/mozfest-2016-this-house-believes-that-everyone-wil,,
159,Dowse.eu  The Privacy Hub for the Internet of Things,15,21,23,2,3,Dilemmas in connected spaces,,,https://public.etherpad-mozilla.org/p/mozfest-2016-dowse-eu--the-privacy-hub-for-the-int,,
692,Makepedia: an open source platform for making and makers aimed at international development & humanitarian relief,15,26,30,4,0,Localisation,,,https://public.etherpad-mozilla.org/p/mozfest-2016-makepedia--an-open-source-platform-fo,,
273,NHS badges and unintended outcomes,15,19,23,4,0,Open badges,,,https://public.etherpad-mozilla.org/p/mozfest-2016-nhs-badges-and-unintended-outcomes,,
677,Build a Better Data Linter with DataProofer,14,22,26,4,10,Journalism,,,https://public.etherpad-mozilla.org/p/mozfest-2016-build-a-better-data-linter-with-datap,,
93,The Moz-Stand: Get the Buzz,14,15,18,3,5,Digital arts and culture,,,https://public.etherpad-mozilla.org/p/mozfest-2016-the-moz-stand--get-the-buzz,,
441,Steampunk with James Watt,14,14,22,8,4,Dilemmas in connected spaces,,,https://public.etherpad-mozilla.org/p/mozfest-2016-steampunk-with-james-watt,,
162,"Digital Literacy & Culture: On the Intersection of Art, Education, & Advocacy",14,32,35,3,4,Digital arts and culture,Advocacy & Web Literacy,,https://public.etherpad-mozilla.org/p/mozfest-2016-digital-literacy---culture--on-the-in,,
336,Curing Perfect Interactive Online Graphic Novel,14,33,37,4,3,Digital arts and culture,Digital Inclusion,,https://public.etherpad-mozilla.org/p/mozfest-2016-curing-perfect-interactive-online-gra,,
682,Curriculum remix party ? Crowdsourcing best practises,14,20,20,0,3,Localisation,Multi-lingual MozFest,"French, English",https://public.etherpad-mozilla.org/p/mozfest-2016-curriculum-remix-party---crowdsourcin,,
331,Multilingualism is Good for You!,14,21,21,0,2,Localisation,,,https://public.etherpad-mozilla.org/p/mozfest-2016-multilingualism-is-good-for-you,,
320,How to Build a Hiring Process around Open Badges,14,18,18,0,2,Open badges,Advocacy & Web Literacy,,https://public.etherpad-mozilla.org/p/mozfest-2016-how-to-build-a-hiring-process-around,,
472,Build on WebVR and touch to interact! Come Augmented Reality for the web!,14,19,26,7,0,Youth zone,"AR, VR & Machine Learning, ""Multi-lingual MozFest""",,https://public.etherpad-mozilla.org/p/mozfest-2016-build-on-webvr-and-touch-to-interact,,
804,Missing Women and Missing Pay: How Mexico and Georgia are Closing the Gender Gap by Closing the Data Gap,14,37,41,4,0,Journalism,Multi-lingual MozFest,"Spanish, French, English",https://public.etherpad-mozilla.org/p/mozfest-2016-missing-women-and-missing-pay--how-me,,
7850,Making Change: DIY Activist Art,14,24,28,4,0,Fuel the movement,,,https://public.etherpad-mozilla.org/p/mozfest-2016-making-change--diy-activist-art,,
5004,LASERS! Create your own jewellery / keyring using a laser cutter,14,20,23,3,0,Youth zone,,,https://public.etherpad-mozilla.org/p/mozfest-2016-lasers--create-your-own-jewellery---k,,
232,Patents for Innovation,14,17,19,2,0,Fuel the movement,,,https://public.etherpad-mozilla.org/p/mozfest-2016-patents-for-innovation,,
828,Chill Bro: Let's Build Diverse and Equitable Teams,14,24,24,0,0,Fuel the movement,,,https://public.etherpad-mozilla.org/p/mozfest-2016-chill-bro--let-s-build-diverse-and-eq,,
1996,Office Hours: Data visualization,13,19,25,6,2,Journalism,,,https://public.etherpad-mozilla.org/p/mozfest-2016-office-hours--data-visualization,,
126,Moving Portfolios Forward: Designing Tools and Supports to Make Portfolio Development More Accessible,13,28,33,5,2,Demystify the web,,,https://public.etherpad-mozilla.org/p/mozfest-2016-moving-portfolios-forward--designing,,
